TransactionID,AccountID,TransactionDate,Income,Expense,Transaction Type,Expense Type,Expense Category,IncomeSource
1,101,01/01/2022,0,800,Expense,Rent,Household,N/A
2,101,01/02/2022,60,0,Income,N/A,N/A,Waiting Tables
3,101,01/03/2022,70,0,Income,N/A,N/A,Waiting Tables
4,101,01/04/2022,65,0,Income,N/A,N/A,Waiting Tables
5,101,01/05/2022,0,99,Expense,Wifi + Phone Bill,Household,N/A
6,101,01/06/2022,0,60,Expense,Groceries,Household,N/A
7,101,01/07/2022,0,20,Expense,McDonald's,Leisure,N/A
8,101,01/08/2022,450,0,Income,N/A,N/A,Uber Courier
9,101,01/09/2022,0,50,Expense,Monthly Electricity Bill,Household,N/A
10,101,01/10/2022,0,12,Expense,Netflix,Leisure,N/A
11,101,01/11/2022,0,25,Expense,Gym,Miscelleanous,N/A
12,101,01/12/2022,60,0,Income,N/A,N/A,Waiting Tables
13,101,01/13/2022,68,0,Income,N/A,N/A,Waiting Tables
14,101,01/14/2022,64,0,Income,N/A,N/A,Waiting Tables
15,101,01/15/2022,0,3,Expense,Hulu Black Friday Bundle Deal,Leisure,N/A
16,101,01/16/2022,0,50,Expense,Amazon Prime Delivery,Leisure,N/A
17,101,01/17/2022,0,150,Expense,Nike Purchase,Leisure,N/A
18,101,01/18/2022,0,35,Expense,Groceries,Household,N/A
19,101,01/19/2022,0,35,Expense,Movies,Leisure,N/A
20,101,01/20/2022,0,15,Expense,Amazon Prime Subscription,Leisure,N/A
21,101,01/21/2022,450,0,Income,N/A,N/A,Uber Courier
22,101,01/22/2022,60,0,Income,N/A,N/A,Waiting Tables
23,101,01/23/2022,70,0,Income,N/A,N/A,Waiting Tables
24,101,01/24/2022,0,40,Expense,Perishables,Household,N/A
25,101,01/25/2022,0,30,Expense,Oil for Car,Automobile,N/A
26,101,01/26/2022,0,80,Expense,Car Insurance,Automobile,N/A
27,101,01/27/2022,0,58,Expense,Groceries,Household,N/A
28,101,01/28/2022,0,20,Expense,Monthly Gas Bill,Household,N/A
29,101,01/29/2022,0,100,Expense,Halloween Party,Leisure,N/A
30,101,02/01/2022,0,800,Expense,Rent,Household,N/A
31,101,02/02/2022,75,0,Income,N/A,N/A,Waiting Tables
32,101,02/03/2022,80,0,Income,N/A,N/A,Waiting Tables
33,101,02/04/2022,78,0,Income,N/A,N/A,Waiting Tables
34,101,02/05/2022,0,99,Expense,Wifi + Phone Bill,Household,N/A
35,101,02/06/2022,0,63,Expense,Groceries,Household,N/A
36,101,02/07/2022,0,25,Expense,Oil for Car,Automobile,N/A
37,101,02/08/2022,450,0,Income,N/A,N/A,Uber Courier
38,101,02/09/2022,0,48,Expense,Monthly Electricity Bill,Household,N/A
39,101,02/10/2022,0,12,Expense,Netflix,Leisure,N/A
40,101,02/11/2022,0,25,Expense,Gym,Miscelleanous,N/A
41,101,02/12/2022,76,0,Income,N/A,N/A,Waiting Tables
42,101,02/13/2022,82,0,Income,N/A,N/A,Waiting Tables
43,101,02/14/2022,79,0,Income,N/A,N/A,Waiting Tables
44,101,02/15/2022,0,3,Expense,Hulu Subscription,Leisure,N/A
45,101,02/16/2022,0,60,Expense,Parents' Gift,Gifts,N/A
46,101,02/17/2022,0,120,Expense,Girlfriend's Gift,Gifts,N/A
47,101,02/18/2022,0,50,Expense,Bestfriend's Gift,Gifts,N/A
48,101,02/19/2022,0,20,Expense,Cat's Gift,Gifts,N/A
49,101,02/20/2022,450,0,Income,N/A,N/A,Uber Courier
50,101,02/21/2022,80,0,Income,N/A,N/A,Waiting Tables
51,101,02/22/2022,78,0,Income,N/A,N/A,Waiting Tables
52,101,02/23/2022,0,30,Expense,Cat Food,Household,N/A
53,101,02/24/2022,0,100,Expense,Vet Charges,Household,N/A
54,101,02/25/2022,0,60,Expense,Groceries ,Household,N/A
55,101,02/26/2022,0,25,Expense,Monthly Gas Bill,Household,N/A
56,101,02/27/2022,82,0,Income,N/A,N/A,Waiting Tables
57,101,02/28/2022,0,15,Expense,Prime Subscription,Leisure,N/A
58,101,03/01/2022,0,800,Expense,Rent,Household,N/A
59,101,03/02/2022,130,0,Income,N/A,N/A,Waiting Tables
60,101,03/03/2022,142,0,Income,N/A,N/A,Waiting Tables
61,101,03/04/2022,138,0,Income,N/A,N/A,Waiting Tables
62,101,03/05/2022,0,99,Expense,Wifi + Phone Bill,Household,N/A
63,101,03/06/2022,450,0,Income,N/A,N/A,Uber Courier
64,101,03/07/2022,0,650,Expense,New TV,Household,N/A
65,101,03/08/2022,140,0,Income,N/A,N/A,Waiting Tables
66,101,03/09/2022,0,100,Expense,Microwave,Miscelleanous,N/A
67,101,03/10/2022,0,300,Expense,Clothes Shopping,Miscelleanous,N/A
